endTime,artistName,trackName,msPlayed,id,genre,language
2022-04-04 08:09,Sanam,Ventriloquist,76648,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-04-13 06:29,Sanam,O Mere Dil Ke Chain,43430,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-04-21 05:54,Sanam,Lag Ja Gale,240953,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-05-31 06:20,Sanam,Aap Ki Nazron Ne Samjha,134170,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-01 10:11,Sanam,Aap Ki Nazron Ne Samjha,186737,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-01 10:12,Sanam,Aap Ki Nazron Ne Samjha,3149,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-01 10:12,Sanam,Aap Ki Nazron Ne Samjha,41980,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-02 11:51,Sanam,Aap Ki Nazron Ne Samjha,186737,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-06 11:19,Sanam,Aap Ki Nazron Ne Samjha,186737,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-09 07:29,Sanam,Aap Ki Nazron Ne Samjha,186737,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-26 15:43,Sanam,Aap Ki Nazron Ne Samjha,186737,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-27 12:26,Sanam,Yeh Raat Bheegi Bheegi,224195,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-06-27 12:27,Sanam,Sanam Mennu,23038,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-08-13 05:56,Sanam,Lag Ja Gale,240953,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-08-14 12:40,Sanam,Lag Ja Gale,240953,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-11-11 09:50,Sanam,Lag Ja Gale,9819,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2022-11-11 09:54,Sanam,Lag Ja Gale,240953,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi
2021-12-17 18:07,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-17 18:08,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,34787,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 13:54,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,1,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 13:54,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,23,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 13:57,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:00,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:07,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:09,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:11,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,87466,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2022-03-14 11:49,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2022-03-15 10:24,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2022-03-30 10:36,"Sippy Gill, Desi Roots",Suhe Bullan Waliye,162857,3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi
2021-12-21 14:15,Lauv,I Like Me Better,197417,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-26 14:05,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-27 13:37,Lauv,I Like Me Better,117578,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-30 16:55,Lauv,I Like Me Better,1185,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-30 19:08,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-31 12:39,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-31 13:28,Lauv,I Like Me Better,3271,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-01-02 11:46,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-01-03 18:33,Lauv,There's No Way (feat. Julia Michaels),43102,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-01-03 18:49,Lauv,Feelings,189906,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-11 09:09,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-14 06:29,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-19 12:24,Lauv,I Like Me Better,41084,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-19 12:28,Lauv,I Like Me Better,156352,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-19 18:01,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-02-27 20:36,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-01 07:18,Lauv,I Like Me Better,23,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-02 06:55,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-04 18:23,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-05 06:35,Lauv,I Like Me Better,27675,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-05 06:36,Lauv,I Like Me Better,14556,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-05 08:49,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-11 12:48,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-11 13:22,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-15 09:56,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-22 09:27,Lauv,I Like Me Better,3204,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-23 03:44,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-24 06:43,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-26 08:14,Lauv,I Like Me Better,0,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-27 05:53,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-28 18:55,Lauv,I Like Me Better,136505,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-03-29 08:23,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-01 06:27,Lauv,I Like Me Better,158547,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
